"Time","CPU","Class"
0,0.4412712114963071,0
1,0.4006043614491122,0
2,0.3304398382484201,0
3,0.2272403664809009,0
4,0.3284830281983734,0
5,0.6732990242659014,1
6,0.5075439380014819,1
7,0.773127245790559,1
8,0.36824626687640677,0
9,0.10554393798167694,0
10,0.1269337817953017,0
11,0.23887217739716352,0
12,0.36216984770943206,0
13,0.21141565885246708,0
14,0.49450961885131334,1
15,0.5637378748309291,1
16,0.7022075188959438,1
17,0.3370808653691958,0
18,0.33959991539619716,0
19,0.36220483340764137,0
20,0.31101720923717,0
21,0.37181014531965767,0
22,0.3285126943018266,0
23,0.2689548669609508,0
24,-0.01106203656746485,0
25,0.1975284733928261,0
26,0.5484114650520542,0
27,0.09839359333791481,0
28,-0.1871714137910221,0
29,-0.059050295138870446,0
30,0.44682321865697117,0
31,0.18114794178445107,0
32,0.20155596288067656,0
33,0.5477200955933099,0
34,0.2238893786326075,0
35,0.4270040511443799,0
36,0.2091480216207116,0
37,0.10834408343583588,0
38,0.3449172082836794,0
39,0.3346312526485662,0
40,0.3677330201979181,0
41,0.13544880969302156,0
42,0.20903126091282936,0
43,0.18895980261770612,0
44,0.5163224011024307,0
45,0.3795428236418502,0
46,0.2808096100771934,0
47,0.13180960987259033,0
48,0.05468188327951495,0
49,0.5389782159034027,0
50,0.2547062848387775,0
51,0.2730652645624815,0
52,0.34548937519794604,0
53,0.2524808798036387,0
54,0.045681039717310024,0
55,0.4365742072081413,0
56,0.4418192980095712,0
57,-0.0011434310090331357,0
58,0.44830204231550597,0
59,0.38180783759082926,0
60,0.26693887060433674,0
61,0.2570181010133411,0
62,0.2943799549371118,0
63,0.34607035046001916,0
64,0.3028987741414499,0
65,0.4092392908789591,0
66,0.4524713675416725,0
67,0.4159560345458103,0
68,0.3009777946468064,0
69,0.03096451346445761,0
70,0.43216420196807565,0
71,0.7401954478097053,1
72,0.6809499096987846,1
73,0.584093552540974,1
74,0.2157739556207599,0
75,0.16487071726166902,0
76,0.34045685313201046,0
77,0.2229677761211762,0
78,0.40155571759845143,0
79,0.3900764738099701,0
80,0.2740172756571059,0
81,0.4101451273479082,0
82,0.4063092063618684,0
83,0.287072522200092,0
84,0.10020144412514481,0
85,0.2424229536145276,0
86,0.5620127491071151,0
87,0.33456593046022626,0
88,0.23641875767435666,0
89,0.5002274794784622,0
90,0.6074672859911634,0
91,0.43247167442213735,0
92,0.4885966473845458,0
93,0.0075195924750113274,0
94,0.30109444974168753,0
95,9.828533201869938E-4,0
96,0.3559893106262047,0
97,0.3937425547878238,0
98,0.3563210758777802,0
99,0.15631805216581138,0
100,0.28167897339008763,0
101,0.4192709552793151,0
102,0.31989144991196455,0
103,0.5098785451340143,0
104,0.12874640062787784,0
105,0.20487014512332558,0
106,0.31760962022936745,0
107,0.14478870934126245,0
108,0.21309625975016,0
109,0.46531947817702624,0
110,0.41392419259212615,0
111,0.6312429357219166,0
112,0.14942629720054737,0
113,0.48393941018862385,0
114,0.16744421900660822,0
115,0.5025107998864553,0
116,0.2016498280193236,0
117,0.06850562726031323,0
118,0.3020567629345155,0
119,0.2830643323755089,0
120,0.017743402274997266,0
121,0.2320670863097073,0
122,0.5608173597873531,0
123,0.19066941784062644,0
124,0.31727797871711966,0
125,0.26118887443380945,0
126,0.212780877377461,0
127,0.28323967888728546,0
128,0.34587571578235715,0
129,0.3364319780981695,0
130,0.13583229701025548,0
131,0.22608843964363187,0
132,0.45248117669499155,0
133,0.11534255699222937,0
134,0.1308053170372885,0
135,0.3461974293293605,0
136,0.2347082091832039,0
137,0.16649762966016024,0
138,0.3662051475230639,0
139,0.17668483513302624,0
140,0.07933524449757567,0
141,0.2858150682275443,0
142,0.33080044007283527,0
143,0.18829756439802098,0
144,0.23417000019497675,0
145,0.0943059186451754,0
146,0.2836397301099052,0
147,0.13219796917908685,0
148,0.3622404221836904,0
149,0.3061985910823977,0
150,0.2851523506948487,0
151,0.036615441512875546,0
152,0.5538280233379052,1
153,0.6486756049514287,1
154,0.635656894322828,1
155,0.5633440611004398,1
156,0.7574123013160158,1
157,0.6618671064249613,1
158,0.3312890351538378,0
159,0.316633085600226,0
160,0.19959804701240724,0
161,0.15781451924302578,0
162,0.4796286877813387,0
163,0.30892747019616806,0
164,0.08929904123669041,0
165,0.26836859025271453,0
166,0.3748347984789207,0
167,0.6245239770601256,0
168,0.18590451110399284,0
169,0.34484172694198867,0
170,0.15424249419485156,0
171,0.10403847522702964,0
172,0.22473060759921876,0
173,0.13184312705488577,0
174,0.4041444989155947,0
175,0.32514870757448183,0
176,0.27872998614675765,0
177,0.09887798195097355,0
178,0.5374486082681128,0
179,0.14626630995041384,0
180,0.21042255260636983,0
181,0.24828930616615696,0
182,0.10853533712457053,0
183,0.2510467324136354,0
184,0.12656901021721711,0
185,0.5428878079266334,0
186,0.20422230318648554,0
187,0.2232452783465253,0
188,0.4271538958802902,0
189,0.4342871462313773,0
190,0.343730222566072,0
191,0.17779756290705567,0
192,0.2803846969920589,0
193,0.5128766483220899,0
194,0.3661998090215334,0
195,0.4377664989364401,0
196,0.5104674874983489,0
197,0.462822534390561,1
198,0.4605584220824038,1
199,0.7400352259523959,1
200,0.3656921063031702,0
201,0.49621756424750907,0
202,0.3366572359144893,0
203,0.30884449096530664,0
204,0.18793102480236573,0
205,0.2948032112968551,0
206,0.30697801446026235,0
207,0.5026887395453158,0
208,0.4111823657394732,0
209,0.3156385234700231,0
210,0.26909862714335114,0
211,0.09500563574023677,0
212,0.5966871660600211,1
213,0.43299548089426465,1
214,0.553975919168639,1
215,0.30316695766912766,0
216,0.4186215697493037,0
217,0.41901261112568305,0
218,0.22101935584210214,0
219,-0.0013239569272358587,0
220,0.18520654843812545,0
221,0.38445393442907216,0
222,0.33716647745387623,0
223,0.31281609410821865,0
224,0.26925049190299316,0
225,0.3196354918376534,0
226,0.324701778475794,0
227,0.04499731434104115,0
228,0.3561710338073386,0
229,0.266176533835979,0
230,0.19408273497489106,0
231,0.4460827205741207,0
232,0.2562813947722265,0
233,0.25510216818021,0
234,0.020648215074777765,0
235,0.2688024840938028,0
236,0.15582794010785667,0
237,0.22926190505816135,0
238,0.21493640652590612,0
239,0.28651524808039636,0
240,-0.029438735977249664,0
241,0.5140906192142544,0
242,0.2995662368608833,0
243,0.27361088142383516,0
244,0.1276962682579651,0
245,0.615594035054364,0
246,0.29432773154717823,0
247,0.25695690444099556,0
248,0.2719327194940476,0
249,0.20159882864561052,0
250,0.4421471040448014,0
251,0.41096693801706385,0
252,0.17443956170301103,0
253,0.1974492412354315,0
254,0.6329658093241856,0
255,0.2988596062983017,0
256,0.39913949553852435,0
257,0.04410343377840209,0
258,0.16462953516661472,0
259,0.3023845034377807,0
260,0.48521111683971085,0
261,0.11891769367469737,0
262,0.37000249341408353,0
263,0.19686866360097285,0
264,0.5441622871454879,0
265,0.22814286527546804,0
266,0.5919857851162229,0
267,0.5590325162535836,0
268,0.40547405103128764,0
269,0.3918431876238597,0
270,0.3141893600078157,0
271,0.20219308324225677,0
272,0.4441232109997707,0
273,0.5550772662532493,0
274,0.27624685613807937,0
275,0.38860641908069105,0
276,0.007637809060852152,0
277,0.23868902904220463,0
278,0.24875689205921936,0
279,0.23368105583374074,0
280,0.29453047228242113,0
281,0.2647721027961104,0
282,0.25731373767510296,0
283,0.389795066237444,0
284,-0.02710062203408914,0
285,-0.014794074005313518,0
286,0.05575641272366763,0
287,0.12293847453598664,0
288,0.02093095971313791,0
289,0.48157003383222863,0
290,0.27325899640531776,0
291,0.28845987122994016,0
292,0.2714296577750686,0
293,0.4829022874599143,0
294,0.6792696294583058,0
295,0.19174774245311238,0
296,0.25803400870001214,0
297,0.39015189386452853,0
298,0.1709847085845192,0
299,0.45128982869014467,0
300,0.2263460980078157,0
301,0.23887704720422176,0
302,0.5903130448169446,1
303,0.764031134041142,1
304,0.6910509624687265,1
305,0.24578315348013025,0
306,0.3018260570515187,0
307,0.08050727539765001,0
308,0.22615943404989702,0
309,0.05599219572474029,0
310,0.4653025910212907,0
311,0.6259921773811656,1
312,0.6305782971649804,1
313,0.6447151251049272,1
314,0.6390090428803663,1
315,0.5401683655965109,1
316,0.550615701009551,1
317,0.060641230115544065,0
318,0.4422341942841077,0
319,0.3947423025495552,0
320,0.5099263498025068,1
321,0.5816202180438051,1
322,0.4750299747398623,1
323,0.713199733668427,0
324,0.31978213250355547,0
325,0.5751050740772037,0
326,0.16209191367375744,0
327,0.30630156875411874,0
328,0.3722301973701203,0
329,0.5785165473244905,0
330,0.387893150391354,0
331,0.42591595879430544,0
332,0.41284559883507244,0
333,0.5253453460031352,0
334,0.2773569814890381,0
335,0.19823407474922292,0
336,0.36503636370143266,0
337,0.08325959902259367,0
338,0.2579612132218408,0
339,0.15203641313053914,0
340,0.3411523013220193,0
341,0.5088803716072126,0
342,0.3652888346436227,0
343,0.30345904657545253,0
344,0.2020491425820088,0
345,0.39994980560890836,0
346,0.2078502452972531,0
347,0.543721664879028,0
348,0.34224482962395475,0
349,0.17709568038159562,0
350,0.12180484966012159,0
351,0.19767144108984194,0
352,0.2295539628646944,0
353,0.29087756393526376,0
354,0.0657561193585959,0
355,0.3342890951826545,0
356,0.44356807772100626,0
357,0.3958725599291977,0
358,0.31615422811695526,0
